Designator,Mid X,Mid Y,Layer,Rotation
BZ1,14.22,20.16,Top,0.0
C1, 5.25,27.76,Top,180.0
C2,33.15, 9.15,Top,270.0
C3,21.32, 6.48,Top,180.0
C4,24.06, 6.69,Top,270.0
C5,40.24,17.20,Top,0.0
C6,38.44, 8.49,Top,0.0
C7,36.00,37.73,Top,180.0
C8,41.54,33.25,Top,0.0
C9,69.62,31.34,Top,270.0
C10,69.62,34.55,Top,270.0
C11,59.75,31.40,Top,180.0
C12,72.44,30.66,Top,270.0
C13,65.90,37.81,Top,90.0
D1,22.61, 2.54,Top,270.0
D2, 1.68,16.23,Top,270.0
FID1,79.46, 0.72,Top,180.0
FID2, 0.60,48.89,Top,180.0
J1,13.57,10.40,Top,0.0
J3,38.96, 1.72,Top,0.0
JP1,14.95, 5.09,Top,180.0
JP2, 1.08,40.68,Top,90.0
JP3, 1.10, 9.19,Top,90.0
LD1,32.96,39.81,Top,180.0
LD2,32.94,42.51,Top,180.0
LD3,57.55,39.70,Top,270.0
LD4,69.18,39.60,Top,270.0
LD5,60.18,39.67,Top,270.0
LD6,71.80,39.58,Top,270.0
Q1, 8.17,18.99,Top,180.0
R1, 8.59,27.00,Top,270.0
R2, 6.30,24.48,Top,90.0
R3,12.87,27.00,Top,90.0
R4,17.09,27.00,Top,90.0
R5,25.91,25.40,Top,270.0
R6,21.46,27.00,Top,270.0
R7, 9.40, 4.26,Top,90.0
R8, 9.40, 1.90,Top,90.0
R9, 9.38, 6.17,Top,90.0
R10,21.23,16.92,Top,90.0
R11, 6.30,22.11,Top,270.0
R12,20.92,21.91,Top,270.0
R13,26.25,21.91,Top,90.0
R14,35.90,41.11,Top,90.0
R15,35.65,43.86,Top,90.0
R16,55.41,28.17,Top,270.0
R17,59.00,35.79,Top,270.0
R18,58.85,43.43,Top,90.0
R19,66.94,43.36,Top,270.0
R20,62.61,43.37,Top,90.0
R21,70.79,43.37,Top,270.0
RGB1,22.88,11.75,Top,90.0
SJ16,37.08,22.35,Top,180.0
SJ17,37.08,24.64,Top,180.0
SJ23,50.80,27.94,Top,0.0
SW1,45.00, 3.30,Top,90.0
SW2,32.98, 3.30,Top,270.0
U1,16.26,45.34,Top,0.0
U3,40.05,12.65,Top,0.0
U4,41.64,39.50,Top,270.0
U5,64.87,33.47,Top,180.0
